Google地点ID,业务类别,地点名称,泰文名称,Google主要类型,主要类别,评分,评价数量,完整地址,纬度,经度,县区中文名,乡分区中文名,每周营业时间,电话,官方网站,设施与服务标签,编辑简介,Google地图链接
ChIJYURmDuqZ4jARsrkOlK12MFg,景点,Street Art Tung Wat Don @ Sathorn,Street Art ทุ่งวัดดอน @ สาทร,,旅游胜地,4.0,15,"Charoen Krung 57, Khwaeng Yan Nawa, Sathon, Bangkok 10120泰国",13.714898,100.516145,沙吞县,Yan Nawa,星期一 24小时营业 | 星期二 24小时营业 | 星期三 24小时营业 | 星期四 24小时营业 | 星期五 24小时营业 | 星期六 24小时营业 | 星期日 24小时营业,+66 97 002 6334,,,,https://www.google.com/maps/place/Street+Art+Tung+Wat+Don+@+Sathorn/data=!4m7!3m6!1s0x30e299ea0e664461:0x583076ad940eb9b2!8m2!3d13.7148983!4d100.5161449!16s%2Fg%2F11kq_8rgx3!19sChIJYURmDuqZ4jARsrkOlK12MFg?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJl13Nsvae4jARpZvJt35yvmo,景点,Wat Uthai Tharam,วัดอุทัยธาราม,,佛教寺庙,4.5,15,"2 Kamphaeng Phet 7 Rd, Bang Kapi, Huai Khwang, Bangkok 10310泰国",13.750052,100.57147,汇权县,Bang Kapi,,,https://facebook.com,,,https://www.google.com/maps/place/Wat+Uthai+Tharam/data=!4m7!3m6!1s0x30e29ef6b2cd5d97:0x6abe727eb7c99ba5!8m2!3d13.7500522!4d100.5714701!16s%2Fg%2F1thxsp02!19sChIJl13Nsvae4jARpZvJt35yvmo?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJawzAcgCZ4jARbIzGDz33xQo,景点,พระมหาเจดีย์ศรีสรรเพชดาญาณ,พระมหาเจดีย์ศรีสรรเพชดาญาณ,buddhist_temple,佛教寺庙,4.7,15,"PFWR+FXV พระบรมมหาราชวัง Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.746236,100.492417,拍那空县,大皇宫区,,,,有洗手间,,https://maps.google.com/?cid=776298352421014636&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJq0LzpdaZ4jARsyleFmXcpC4,景点,สำนักปฏิบัติธรรมวัดโพธิ์,สำนักปฏิบัติธรรมวัดโพธิ์,buddhist_temple,佛教寺庙,4.7,15,"น.23 Thanon Sanam Chai, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.745629,100.492202,拍那空县,大皇宫区,,,https://www.facebook.com/watpho.meditation?mibextid=ZbWKwL,有洗手间|无障碍停车,,https://maps.google.com/?cid=3361053548650310067&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJR4KhG8WY4jARVI7JXj9Fnno,景点,哇萱蒲寺,วัดวาซวนผู่,,佛教寺庙,4.4,15,"58 Charoen Krung 42/1 Alley, Bang Rak, Bangkok 10500泰国",13.721552,100.515318,挽叻县,Bang Rak,,,,,,https://www.google.com/maps/place/%E5%93%87%E8%90%B1%E8%92%B2%E5%AF%BA/data=!4m7!3m6!1s0x30e298c51ba18247:0x7a9e453f5ec98e54!8m2!3d13.7215521!4d100.5153183!16s%2Fg%2F155qnjd8!19sChIJR4KhG8WY4jARVI7JXj9Fnno?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJ1ZdnTwCZ4jARuxoE2_c8t4g,景点,Big Buddha Photospot,จุดชมวิวพระใหญ่,observation_deck,观景台,4.4,14,"PFCG+VMV, Talat Phlu, Thon Buri, Bangkok 10600",13.722508,100.476703,吞武里县,Wat Tha Phra,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,,,,https://maps.google.com/?cid=9851409745125317307&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJW89rWg6Z4jAR4kT332A0obQ,景点,Chai Chumphon Hall,พระที่นั่งไชยชุมพล,historical_landmark,古迹地标,4.6,14,"QF2V+GC7, Na Phra Lan Rd, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.751281,100.493534,拍那空县,大皇宫区,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,,,,https://maps.google.com/?cid=13015741988756473058&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJaduyMh-Z4jARFamufeP78y8,景点,Queen Sunanda Kumariratana Monument,อนุสาวรีย์สมเด็จพระนางเจ้าสุนันทากุมารีรัตน์,cultural_landmark,文化地标,4.6,14,"Sai 2 Bus Terminal (Pak Khlong Talat, แขวงพระบรมมหาราชวัง เขตพระนคร กรุงเทพมหานคร 10200",13.748419,100.495351,拍那空县,大皇宫区,,,,,,https://maps.google.com/?cid=3455382293608048917&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJe9rSRiSZ4jARFK2uhwNSd3g,景点,ศูนย์การเรียนรู้ประชาธิปไตย,ศูนย์การเรียนรู้ประชาธิปไตย,museum,博物馆,4.9,14,"2 Lan Luang Rd, Khwaeng Ban Bat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.756088,100.506608,拍那空县,班巴区,,+66 2 280 3413,https://democracylearningcenter.kingprajadhipokmuseum.com/,有洗手间,,https://maps.google.com/?cid=8680496981894671636&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJpYTP2-iZ4jARE5xeXAnWiOM,景点,Ananta Khiri Fort,ป้อมอนันตคีรี,historical_landmark,古迹地标,4.5,13,"25 Thanon Thai Wang, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.748089,100.494067,拍那空县,大皇宫区,,,https://sites.google.com/view/thailandgrandpalace/home,,,https://maps.google.com/?cid=16395589779135044627&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJJyjuiQ-Z4jARzm79X0-DhkY,景点,Mani Prakan Fort,ป้อมมณีปราการ,historical_landmark,古迹地标,4.8,12,"#15-07 The Metropolis Tower 2 Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 138589",13.747719,100.494057,拍那空县,大皇宫区,,,,,,https://maps.google.com/?cid=5081893606470282958&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJGYQ4Wk6Z4jARnX8CqcZ3YhA,景点,Phimanchaisri Gate,ประตูพิมานไชยศรี,historical_landmark,古迹地标,4.4,12,"Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200",13.750764,100.491336,拍那空县,大皇宫区,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,,,,https://maps.google.com/?cid=1180637747447234461&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ8XGAeMqf4jARS2q9DS3eoBs,景点,Wat Hua Lamphong Rukkhaniwet Park,อุทยานวัดหัวลำโพงรักคนิเวศน์,,公园,4.3,12,"116 Soi Na Wat Hua Lamphong, Si Phraya, Bang Rak, Bangkok 10500泰国",13.730887,100.530657,挽叻县,Si Phraya,星期一 05:00-20:00 | 星期二 05:00-20:00 | 星期三 05:00-20:00 | 星期四 05:00-20:00 | 星期五 05:00-20:00 | 星期六 05:00-20:00 | 星期日 05:00-20:00,,,,,https://www.google.com/maps/place/Wat+Hua+Lamphong+Rukkhaniwet+Park/data=!4m7!3m6!1s0x30e29fca788071f1:0x1ba0de2d0dbd6a4b!8m2!3d13.7308872!4d100.530657!16s%2Fg%2F11rcq7f202!19sChIJ8XGAeMqf4jARS2q9DS3eoBs?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJmcSYIPaZ4jARJ2kUoA_cns8,景点,Department of Lands Museum,พิพิธภัณฑ์กรมที่ดิน,museum,博物馆,4.3,11,"Bangkok Metropolitan Land Office, ชั้น 2 เลขที่ 4 Thanon Rachini, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.744156,100.496057,拍那空县,大皇宫区,星期一: 休息 | 星期二: 09:00–15:00 | 星期三: 休息 | 星期四: 休息 | 星期五: 休息 | 星期六: 休息 | 星期日: 休息,+66 2 225 5758 ext. 27,https://www.dol.go.th/museum/,有洗手间|无障碍入口|无障碍停车|无障碍洗手间,,https://maps.google.com/?cid=14960636971839678759&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJZ8voZACZ4jARejPQWOYTv7A,景点,King Rama IX (Bhumibol Adulyadej The Great) Memorial Park,อุทยานพระบรมราชานุสาวรีย์พระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร,state_park,州立公园,4.5,11,"QG79+959 สนามม้านางเลิ้งเดิม Thanon Si Ayutthaya, Khwaeng Suan Chitlada, Khet Dusit, Krung Thep Maha Nakhon 10300",13.763405,100.517978,都实县,Suan Chit Lada,,,,,,https://maps.google.com/?cid=12735920151280497530&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJE9ePeQCZ4jAR81qyQHKPLf0,景点,Replica of Angkor Wat,นครวัดจำลอง,historical_landmark,古迹地标,5.0,11,"QF2R+PXH, Na Phra Lan Rd, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.751812,100.492497,拍那空县,大皇宫区,星期一: 08:30–15:30 | 星期二: 08:30–15:30 | 星期三: 08:30–15:30 | 星期四: 08:30–15:30 | 星期五: 08:30–15:30 | 星期六: 08:30–15:30 | 星期日: 08:30–15:30,,https://earth.google.com/earth/d/1QJGa0EiX6kqHpKdYQBa7b73E-wgEdXyq?usp=sharing,适合儿童,,https://maps.google.com/?cid=18243395386422221555&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJMw41SgCZ4jAROmvOvXlb4uA,景点,SOOK SMALL WORLD by SOOKSIAM,สุขสมอลล์เวิลด์ โดย สุขสยาม,,旅游胜地,4.9,11,"Central Region zone, 299 Charoen Nakhon 5 Alley, Khlong Ton Sai, Khlong San, Bangkok 10600 SOOKSIAM @ ICONSIAM, UG Fl, Khlong Ton Sai, Khlong San, Bangkok 10600泰国",13.726677,100.509902,空訕縣,Khlong Ton Sai,星期一 10:00-22:00 | 星期二 10:00-22:00 | 星期三 10:00-22:00 | 星期四 10:00-22:00 | 星期五 10:00-22:00 | 星期六 10:00-22:00 | 星期日 10:00-22:00,+66 2 437 0711,https://sooksiam.com,,,https://www.google.com/maps/place/SOOK+SMALL+WORLD+by+SOOKSIAM/data=!4m7!3m6!1s0x30e299004a350e33:0xe0e25b79bdce6b3a!8m2!3d13.7266769!4d100.5099018!16s%2Fg%2F11z5sqztr3!19sChIJMw41SgCZ4jAROmvOvXlb4uA?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJB_ujkgWZ4jAR3fSOXSRI7zU,景点,The Onkarak Gate,ประตูอนงคารักษ์,historical_landmark,古迹地标,4.6,11,"PFWR+RM4, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200",13.747008,100.491719,拍那空县,大皇宫区,,,,适合儿童,,https://maps.google.com/?cid=3886404324469699805&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJtUwOCQCZ4jARp3_-s4uMgyw,景点,Watprakaeomorakot,วัดพระแก้วมรกต,buddhist_temple,佛教寺庙,4.8,11,"PFXR+WJW, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200",13.751819,100.492792,拍那空县,大皇宫区,,,https://earth.google.com/earth/d/1w-HmQvKE9ksUQ_Xn6dRMwgoe27_sj-8u?usp=sharing,有洗手间,,https://maps.google.com/?cid=3207561891266068391&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJJa0pCgCZ4jAR8zmzTEISLgM,景点,พระเมรุมาศ พระเมรุ,พระเมรุมาศ พระเมรุ,historical_landmark,古迹地标,4.6,11,"QF3V+P4P, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200",13.75439,100.49299,拍那空县,大皇宫区,,,,适合儿童,,https://maps.google.com/?cid=229140707006429683&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ681gfw6Z4jARQdrjJcz248I,景点,วัดโสมนัสฯ ศาลา 5,วัดโสมนัสฯ ศาลา 5,buddhist_temple,佛教寺庙,4.5,11,"646 Krung Kasem Rd, Khwaeng Wat Sommanat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.759835,100.509798,邦巴沙都拍县,Wat Sommanat,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,,有洗手间,,https://maps.google.com/?cid=14043339419740789313&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJAblBleyZ4jARQESEWVvdE3s,景点,แยกเรือนจำ - Ruan Cham Junction,แยกเรือนจำ - Ruan Cham Junction,park,公园,4.2,11,"PGX3+MG6, Maha Chai Rd, Khwaeng Samran Rat, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.749171,100.50377,拍那空县,巴杜披,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,,,,https://maps.google.com/?cid=8868675475636241472&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ_zgNy8KY4jARN3vL7VssQGc,景点,哇素温寺,วัดสุวินทร์,,佛教寺庙,4.4,11,"2 ซอย เจริญนคร Khlong Ton Sai, Khlong San, Bangkok 10600泰国",13.724028,100.508853,空訕縣,Khlong Ton Sai,星期一 05:00-00:00 | 星期二 05:00-00:00 | 星期三 05:00-00:00 | 星期四 05:00-00:00 | 星期五 05:00-00:00 | 星期六 05:00-00:00 | 星期日 05:00-00:00,+66 2 438 1389,https://m.facebook.com,,,https://www.google.com/maps/place/%E5%93%87%E7%B4%A0%E6%B8%A9%E5%AF%BA/data=!4m7!3m6!1s0x30e298c2cb0d38ff:0x67402c5bedcb7b37!8m2!3d13.7240279!4d100.5088531!16s%2Fg%2F155qbqpf!19sChIJ_zgNy8KY4jARN3vL7VssQGc?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJm4cUkT-Z4jARBcOmfA7I2Qo,景点,Duplicate Account - will be deleted soon. Please use Bangkok 1899 instead!,บัญชีซ้ำ - จะถูกลบเร็วๆ นี้ กรุณาใช้กรุงเทพ 1899 แทน!,cultural_landmark,文化地标,4.6,10,"134 Nakhon Sawan Rd, Khwaeng Wat Sommanat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.757347,100.508476,邦巴沙都拍县,Wat Sommanat,,,http://bangkok1899.org/,有洗手间,,https://maps.google.com/?cid=781875974871892741&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJdzGN_d2Z4jARSC8zHVuF-V8,景点,FAZAL Unlimited,FAZAL ไม่จำกัด,art_gallery,画廊,5.0,10,"1 Thanon Bamrung Mueang, Khwaeng San Chao Pho Sua, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.751382,100.496496,拍那空县,虎神庙区,星期一: 休息 | 星期二: 14:00–18:00 | 星期三: 14:00–18:00 | 星期四: 14:00–18:00 | 星期五: 14:00–18:00 | 星期六: 14:00–18:00 | 星期日: 14:00–18:00,,https://thisisunlimited.com/fazal/,,,https://maps.google.com/?cid=6915705329182519112&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJC1uY-pOf4jARhR5AiSki0IA,景点,Meditation Garden in Wat Pathum Wanaram Rachaworawihan,สวนปฏิบัติธรรม วัดปทุมวนารามราชวรวิหาร,garden,花园,4.9,10,"147/6 Thanon Ratchadamri, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330",13.747047,100.537274,巴吞旺县,Pathum Wan,星期一: 07:00–19:00 | 星期二: 07:00–19:00 | 星期三: 07:00–19:00 | 星期四: 07:00–19:00 | 星期五: 07:00–19:00 | 星期六: 08:00–18:00 | 星期日: 休息,,,,,https://maps.google.com/?cid=9281956393802276485&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJW2-nwVuZ4jARIQ8SmFAmUqY,景点,Phra Buddha Dhammakaya Thep Mongkol,พระพุทธธรรมกายเทพมงคล,,宗教场所,4.7,10,"PFCC+GG6, Pak Nam Alley, Pak Khlong Phasi Charoen, Phasi Charoen, Bangkok 10160泰国",13.72127,100.471213,吞武里县,Pak Khlong Phasi Charoen,星期一 07:00-18:00 | 星期二 07:00-18:00 | 星期三 07:00-18:00 | 星期四 07:00-18:00 | 星期五 07:00-18:00 | 星期六 07:00-18:00 | 星期日 07:00-18:00,,https://facebook.com,,,https://www.google.com/maps/place/Phra+Buddha+Dhammakaya+Thep+Mongkol/data=!4m7!3m6!1s0x30e2995bc1a76f5b:0xa652265098120f21!8m2!3d13.7212702!4d100.4712126!16s%2Fg%2F11trq5rptx!19sChIJW2-nwVuZ4jARIQ8SmFAmUqY?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJR2gG7wqZ4jAR3xWhJ8kDqDw,景点,Sathan Phimuk Garden,สวนสถานภิมุข,garden,花园,4.3,10,"QF4P+XMP, Siriraj, Bangkok Noi, Bangkok 10700",13.757473,100.486711,曼谷蓮縣,Sirirat,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 95 789 3737,,,,https://maps.google.com/?cid=4370747600851244511&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJTYAaeQ6f4jAR5a6NbpotQSA,景点,The Church of Jesus Christ of Latter-day Saints,ศาสนจักรของพระเยซูคริสต์แห่งวิสุทธิชนยุคสุดท้าย,,教堂,4.8,10,"1645/6 Phetchaburi Rd, Makkasan, Ratchathewi, Bangkok 10400泰国",13.749955,100.562581,拉差贴威县,Makkasan,星期一 休息 | 星期二 休息 | 星期三 休息 | 星期四 休息 | 星期五 休息 | 星期六 休息 | 星期日 09:00-14:00,+66 2 021 7250,https://churchofjesuschrist.org,,,https://www.google.com/maps/place/The+Church+of+Jesus+Christ+of+Latter-day+Saints/data=!4m7!3m6!1s0x30e29f0e791a804d:0x20412d9a6e8daee5!8m2!3d13.7499552!4d100.5625807!16s%2Fg%2F11fkth9cq6!19sChIJTYAaeQ6f4jAR5a6NbpotQSA?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJO13ugBeZ4jARZX-_q1Suc5c,景点,ลานอเนกประสงค์ใต้สะพานพระราม 8,ลานอเนกประสงค์ใต้สะพานพระราม 8,park,公园,5.0,10,"Thanon Arun Amarin, Khwaeng Bang Yi Khan, Khet Bang Phlat, Krung Thep Maha Nakhon 10700",13.769618,100.495655,挽拍县,Bang Yi Khan,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,,适合儿童,,https://maps.google.com/?cid=10913258000730783589&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJf1BXHwCZ4jARGVP-EQrJHRk,景点,วังสมมตอมรพันธ์,วังสมมตอมรพันธ์,historical_landmark,古迹地标,4.2,10,"QG23+W9X, Samran Rat, Phra Nakhon, Bangkok 10200",13.752357,100.50349,拍那空县,巴杜披,,,,,,https://maps.google.com/?cid=1809823670361543449&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJv7S_pHyZ4jARNtHVl4ksWh4,景点,สวนพัฒน์ 1 อุรุพงษ์,สวนพัฒน์ 1 อุรุพงษ์,city_park,城市公园,4.7,10,"QG3F+66C, Soi Phaya Nak, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Krung Thep Maha Nakhon 10400",13.753058,100.523,拉差贴威县,Thanon Phetchaburi,星期一: 05:00–21:00 | 星期二: 05:00–21:00 | 星期三: 05:00–21:00 | 星期四: 05:00–21:00 | 星期五: 05:00–21:00 | 星期六: 05:00–21:00 | 星期日: 05:00–21:00,,https://bangkokhealthpark.weebly.com/,适合儿童,,https://maps.google.com/?cid=2187109538511311158&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJv6TmBgqZ4jARXm7EaZAQnzQ,景点,Old City Wall,กำแพงเมืองเก่า,historical_landmark,古迹地标,4.4,9,"89 Maha Chai Rd, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.754694,100.505269,拍那空县,波稳尼威区,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,,适合儿童,,https://maps.google.com/?cid=3791767623705063006&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ39Oo7WCZ4jARTYeVIxH17u0,景点,St. Francis Xavier Church,โบสถ์เซนต์ฟรานซิสเซเวียร์,,天主教堂,4.6,9,"94 Soi Samsen 11, Wachira Phayaban, Dusit District, Bangkok 10300泰国",13.777861,100.50517,都实县,Wachira Phayaban,星期一 24小时营业 | 星期二 24小时营业 | 星期三 24小时营业 | 星期四 24小时营业 | 星期五 24小时营业 | 星期六 24小时营业 | 星期日 24小时营业,+66 2 243 0060,https://facebook.com,,,https://www.google.com/maps/place/St.+Francis+Xavier+Church/data=!4m7!3m6!1s0x30e29960eda8d3df:0xedeef5112395874d!8m2!3d13.7778612!4d100.5051698!16s%2Fg%2F1hm355b7k!19sChIJ39Oo7WCZ4jARTYeVIxH17u0?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJ0ej72-SZ4jARM2bCHBu9l5g,景点,The Gate of Phraeng Sanphasat,ประตูแพรงสรรพสัตว์,historical_landmark,古迹地标,4.8,9,"3 Thanon Tanao, Khwaeng Sao Chingcha, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.753281,100.498373,拍那空县,虎神庙区,,,,,,https://maps.google.com/?cid=10995464939392624179&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJk_tzgTiZ4jARsgLedrR1128,景点,The Pinnacle ICONSIAM,เดอะ พินนาเคิล ไอคอนสยาม,art_museum,Art museum,3.4,9,"ชั้น 8 299 Soi Charoen Nakhon 5, Khwaeng Khlong Ton Sai, Khet Khlong San, Krung Thep Maha Nakhon 10600",13.726032,100.510261,空訕縣,Khlong Ton Sai,星期一: 12:00–19:00 | 星期二: 12:00–19:00 | 星期三: 12:00–19:00 | 星期四: 12:00–19:00 | 星期五: 12:00–19:00 | 星期六: 12:00–19:00 | 星期日: 12:00–19:00,+66 2 495 7080,http://www.iconsiam.com/,适合儿童|有洗手间|无障碍入口|无障碍停车|无障碍洗手间,,https://maps.google.com/?cid=8059039476151616178&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJQ_IMeQCZ4jARjkRSn5D--X4,景点,Wat Pho Main Entrance,ทางเข้าหลักวัดโพธิ์,buddhist_temple,佛教寺庙,4.6,9,"PFWR+HF5, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200",13.746384,100.49123,拍那空县,大皇宫区,,,,有洗手间,,https://maps.google.com/?cid=9149624015081587854&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJN6L-BgCZ4jARMFa61ImxskI,景点,ซุ้มประตูมหาเฮง,ซุ้มประตูมหาเฮง,buddhist_temple,佛教寺庙,4.2,9,"2 Thanon Sanam Chai, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.746615,100.493623,拍那空县,大皇宫区,,,,有洗手间,,https://maps.google.com/?cid=4806098957895358000&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJA8h4ZGuZ4jARuAdOA1WWyBU,景点,สวน 15 นาที สี่แยกตากสิน,สวน 15 นาที สี่แยกตากสิน,state_park,国家公园,4.4,9,"PFCQ+3X2, Bukkhalo, Thon Buri, Bangkok 10600",13.720284,100.489851,吞武里县,Bukkhalo,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,https://doctorlovely.weebly.com/,适合儿童,,https://maps.google.com/?cid=1569669762010449848&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
