清单序号,酒店ID,清单酒店名称,携程详情酒店名称,Trip酒店ID,Trip酒店名称,身份核验,采集状态,房型数量,尝试次数,HTTP状态,失败原因,入住日期,离店日期,请求URL,最终详情URL,采集时间
457,27215837,曼谷尊贵比左特尔酒店,曼谷拉差达宜必思尚品酒店(Ibis Styles Bangkok Ratchada),27215837,Ibis Styles Bangkok Ratchada,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-27215837/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-27215837/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:49:15
458,68343751,曼谷尊贵比左特尔酒店,UHG四分之一隆齐酒店(The Quarter Ploenchit by UHG),68343751,The Quarter Ploenchit by UHG,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-68343751/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-68343751/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:49:19
459,1340746,曼谷尊贵比左特尔酒店,曼谷艾萨奴克酒店(ISanook Bangkok),1340746,ISanook Bangkok,酒店ID与携程详情名称一致,成功,9,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1340746/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1340746/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:49:23
460,46185819,曼谷尊贵比左特尔酒店,廊曼广场酒店(Donmueang Place Hotel),46185819,Donmueang Place Hotel,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-46185819/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-46185819/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:49:28
461,700971,曼谷尊贵比左特尔酒店,曼谷巴龙公寓(Baron Residence Bangkok),700971,Baron Residence Bangkok,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-700971/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-700971/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:14:00
462,701954,曼谷尊贵比左特尔酒店,水门 J2S 酒店(J Two S Pratunam Hotel),701954,J Two S Pratunam Hotel,酒店ID与携程详情名称一致,成功,1,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-701954/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-701954/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:49:32
463,100344790,曼谷尊贵比左特尔酒店,玫瑰苹果酒店(Rose Apple Hotel),100344790,Rose Apple Hotel,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-100344790/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-100344790/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:49:36
464,1619469,曼谷尊贵比左特尔酒店,曼谷隆比尼公园皇冠假日酒店(Crowne Plaza BANGKOK LUMPINI PARK by IHG),1619469,Crowne Plaza BANGKOK LUMPINI PARK by IHG,酒店ID与携程详情名称一致,成功,25,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1619469/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1619469/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:49:41
465,133582103,曼谷尊贵比左特尔酒店,卡萨勒达穆兹 At MRT Bangphlat - Adult Only(Casa Le Damuz At MRT Bangphlat - Adult Only),133582103,Casa Le Damuz At MRT Bangphlat - Adult Only,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-133582103/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-133582103/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:49:45
466,57912440,曼谷尊贵比左特尔酒店,@纳瑞斯酒店(@Nares Hotel),57912440,$@Nares Hotel,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-57912440/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-57912440/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:49:50
467,996765,曼谷尊贵比左特尔酒店,"曼谷凯特睿易居酒店(Kantary House Hotel & Serviced Apartments, Bangkok)",996765,"Kantary House Hotel & Serviced Apartments, Bangkok",酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996765/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996765/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:49:54
468,996732,曼谷尊贵比左特尔酒店,曼谷拉查丹利中心酒店(Grande Centre Point Hotel Ratchadamri Bangkok),996732,Grande Centre Point Hotel Ratchadamri Bangkok,酒店ID与携程详情名称一致,成功,9,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996732/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996732/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:49:58
469,1708490,曼谷尊贵比左特尔酒店,曼谷迈阿密酒店(Miami Hotel Bangkok),1708490,Miami Hotel Bangkok,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1708490/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1708490/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:50:02
470,702430,曼谷尊贵比左特尔酒店,P-Park Hotel Bangkok,702430,P-Park Hotel Bangkok,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-702430/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-702430/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:14:03
471,94083838,曼谷尊贵比左特尔酒店,曼谷托马斯酒店(Hotel Thomas Bangkok),94083838,Hotel Thomas Bangkok,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-94083838/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-94083838/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:50:06
472,846807,曼谷尊贵比左特尔酒店,瓦塔纳酒店(Watana Hotel),846807,Watana Hotel,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-846807/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-846807/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:50:10
473,702860,曼谷尊贵比左特尔酒店,沙吞目标酒店(The Aim Sathorn Hotel),702860,The Aim Sathorn Hotel,酒店ID与携程详情名称一致,成功,3,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-702860/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-702860/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:50:14
474,701766,曼谷尊贵比左特尔酒店,论坛公园酒店(Forum Park Hotel),701766,Forum Park Hotel,酒店ID与携程详情名称一致,成功,7,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-701766/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-701766/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:50:18
475,996367,曼谷尊贵比左特尔酒店,通塔拉江景酒店(Tongtara Riverview Hotel),996367,Tongtara Riverview Hotel,酒店ID与携程详情名称一致,成功,7,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996367/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996367/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:50:22
476,95001316,曼谷尊贵比左特尔酒店,Z兹帕兹酒店(Hotel Z Zpaze),95001316,Hotel Z Zpaze,酒店ID与携程详情名称一致,成功,9,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-95001316/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-95001316/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:14:08
477,132405932,曼谷尊贵比左特尔酒店,Hotel PaPa Ratchada Huaikwang,132405932,Hotel PaPa Ratchada Huaikwang,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-132405932/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-132405932/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:50:26
478,95368789,曼谷尊贵比左特尔酒店,曼谷泰雅酒店(Thaya Hotel Bangkok),95368789,Thaya Hotel Bangkok,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-95368789/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-95368789/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:50:31
479,996756,曼谷尊贵比左特尔酒店,"西隆富丽萨通酒店(FuramaXclusive Sathorn, Bangkok)",996756,"FuramaXclusive Sathorn, Bangkok",酒店ID与携程详情名称一致,成功,9,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996756/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996756/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:50:35
480,701851,曼谷尊贵比左特尔酒店,铁塔豪华罗摩六世酒店(Grand Tower Inn Rama 6),701851,Grand Tower Inn Rama 6,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-701851/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-701851/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:50:39
481,996050,曼谷尊贵比左特尔酒店,曼谷苏阁索酒店(The Sukosol Hotel),996050,The Sukosol Hotel,酒店ID与携程详情名称一致,成功,20,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996050/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996050/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:50:44
482,6245068,曼谷尊贵比左特尔酒店,曼谷寰庭氛围素坤逸酒店(Cross Vibe Bangkok Sukhumvit),6245068,Cross Vibe Bangkok Sukhumvit,酒店ID与携程详情名称一致,成功,10,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-6245068/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-6245068/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:50:48
483,996685,曼谷尊贵比左特尔酒店,察殿曼谷河畔豪华酒店(Chatrium Hotel Riverside Bangkok),996685,Chatrium Hotel Riverside Bangkok,酒店ID与携程详情名称一致,成功,22,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996685/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996685/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:50:52
484,46035720,曼谷尊贵比左特尔酒店,班纳立方酒店(Cubic Bangna),46035720,Cubic Bangna,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-46035720/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-46035720/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:14:12
485,133410880,曼谷尊贵比左特尔酒店,艾卡迈区域(The District Ekkamai),133410880,The District Ekkamai,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-133410880/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-133410880/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:14:16
486,701174,曼谷尊贵比左特尔酒店,曼谷肉桂酒店(Cinnamon Hotel Bangkok),701174,Cinnamon Hotel Bangkok,酒店ID与携程详情名称一致,成功,3,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-701174/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-701174/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:50:56
487,15224182,曼谷尊贵比左特尔酒店,纳拉酒店(Narra Hotel),15224182,Narra Hotel,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-15224182/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-15224182/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:14:21
488,700846,曼谷尊贵比左特尔酒店,素坤逸爱瑞酒店(Arize Hotel Sukhumvit),700846,Arize Hotel Sukhumvit,酒店ID与携程详情名称一致,成功,10,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-700846/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-700846/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:51:00
489,86051597,曼谷尊贵比左特尔酒店,加丁娜阿索克酒店及公寓(Gardina Asoke Hotel & Residence),86051597,Gardina Asoke Hotel & Residence,酒店ID与携程详情名称一致,成功,15,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-86051597/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-86051597/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:51:05
490,700722,曼谷尊贵比左特尔酒店,于拉查达阿曼塔酒店(Amanta Hotel & Residence Ratchada),700722,Amanta Hotel & Residence Ratchada,酒店ID与携程详情名称一致,成功,9,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-700722/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-700722/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:14:25
491,10019235,曼谷尊贵比左特尔酒店,素坤逸2巷贝斯特韦斯特SureStay Plus酒店(SureStay Plus Hotel by Best Western Sukhumvit 2),10019235,SureStay Plus Hotel by Best Western Sukhumvit 2,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-10019235/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-10019235/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:51:09
492,996622,曼谷尊贵比左特尔酒店,曼谷阿索克NH 酒店(NH Bangkok Asoke),996622,NH Bangkok Asoke,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-996622/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-996622/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:51:13
493,111797086,曼谷尊贵比左特尔酒店,席娜卡琳迪亚酒店(Diya Hotel Bangkok),111797086,Diya Hotel Bangkok,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-111797086/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-111797086/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:51:17
494,119352270,曼谷尊贵比左特尔酒店,恩瑞奇大酒店(Enrich Grand Hotel),119352270,Enrich Grand Hotel,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-119352270/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-119352270/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:51:21
495,112626444,曼谷尊贵比左特尔酒店,曼谷素万那普机场万豪万怡酒店(Courtyard by Marriott Bangkok Suvarnabhumi Airport),112626444,Courtyard by Marriott Bangkok Suvarnabhumi Airport,酒店ID与携程详情名称一致,成功,10,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-112626444/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-112626444/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:51:25
496,105245955,曼谷尊贵比左特尔酒店,贝斯特韦斯特乍都乍酒店(Best Western Chatuchak),105245955,Best Western Chatuchak,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-105245955/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-105245955/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:51:29
497,1513169,曼谷尊贵比左特尔酒店,斯里那卡林查巴客栈(Chaba Inn Srinakarin),1513169,Chaba Inn Srinakarin,酒店ID与携程详情名称一致,成功,4,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1513169/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1513169/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:14:29
498,5033287,曼谷尊贵比左特尔酒店,曼谷素里翁可可特尔酒店(Kokotel Bangkok Surawong),5033287,Kokotel Bangkok Surawong,酒店ID与携程详情名称一致,成功,9,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-5033287/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-5033287/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:51:33
499,114716879,曼谷尊贵比左特尔酒店,拉玛4卡皮特尔酒店(Capitel Rama 4),114716879,Capitel Rama 4,酒店ID与携程详情名称一致,成功,11,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-114716879/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-114716879/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:14:33
500,702459,曼谷尊贵比左特尔酒店,曼谷王子宫殿酒店(Prince Palace Hotel Bangkok),702459,Prince Palace Hotel Bangkok,酒店ID与携程详情名称一致,成功,9,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-702459/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-702459/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:51:37
501,105827746,曼谷尊贵比左特尔酒店,拍那空高级青年旅馆(Phra Nakhon Poshtel),105827746,Phra Nakhon Poshtel,酒店ID与携程详情名称一致,成功,7,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-105827746/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-105827746/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:14:38
502,700859,曼谷尊贵比左特尔酒店,萨拉丁伊斯 - 埃塔斯酒店(AT EASE saladaeng by AETAS),700859,AT EASE saladaeng by AETAS,酒店ID与携程详情名称一致,成功,6,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-700859/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-700859/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:51:42
503,48567494,曼谷尊贵比左特尔酒店,曼谷素坤逸卡尔顿酒店(Carlton Hotel Bangkok Sukhumvit),48567494,Carlton Hotel Bangkok Sukhumvit,酒店ID与携程详情名称一致,成功,7,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-48567494/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-48567494/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:14:42
504,112491201,曼谷尊贵比左特尔酒店,UHG拉差贴威四分之一酒店(The Quarter Ratchathewi by UHG),112491201,The Quarter Ratchathewi by UHG,酒店ID与携程详情名称一致,成功,5,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-112491201/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-112491201/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-05 16:51:46
