Google地点ID,业务类别,地点名称,泰文名称,Google主要类型,主要类别,评分,评价数量,完整地址,纬度,经度,县区中文名,乡分区中文名,每周营业时间,电话,官方网站,设施与服务标签,编辑简介,Google地图链接
ChIJ0VwiBI-Z4jARxg4Rt3C-5yQ,酒店住宿,83/18 Domus,83/18 โดมุส,hotel,酒店,,,"83 18 Soi Banphanthom, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.762636,100.503637,拍那空县,班潘通,,,,,,https://maps.google.com/?cid=2659303496302530246&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ432A4mWZ4jARDDFAGImRox8,酒店住宿,87 Oldtown at River Pier,87 เมืองเก่าที่ท่าเรือแม่น้ำ,lodging,住宿,,,"泰国曼谷都会区 Phra Nakhon, 曼谷 Banglamphu",13.77109,100.50148,都实县,讪披耶寺区,,,,,,https://maps.google.com/?cid=2279825854383010060&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJlXxZzeOZ4jARkkW1sLZRGbM,酒店住宿,87 Oldtown at River Pier,87 เมืองเก่าที่ท่าเรือแม่น้ำ,guest_house,宾馆/民宿,,,"8/7 Krung Kasem Rd, Khwaeng Wat Sam Phraya, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.771199,100.501574,都实县,讪披耶寺区,,,,,,https://maps.google.com/?cid=12905436052297434514&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJlz3w_5WZ4jARsKN8kqF48mw,酒店住宿,99 Hostel Khaosan,99 โฮสเทล ข้าวสาร,hostel,青年旅舍,,,"99 Soi Samsen 4, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.763004,100.50137,拍那空县,班潘通,,,,,,https://maps.google.com/?cid=7850469735802905520&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJzb3xOWyZ4jARDGnw-H87OMw,酒店住宿,@Pranakorn Inn,@พระนครอินท์,hotel,酒店,,,"Soi Phan Thom, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.763511,100.499533,拍那空县,班潘通,,,,,,https://maps.google.com/?cid=14715577203256486156&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJZTCnigmZ4jARdZc8je8pwNk,酒店住宿,A cozy living with two king size beds,ชีวิตที่สะดวกสบายพร้อมเตียงขนาดคิงไซส์สองเตียง,lodging,住宿,,,"泰国曼谷都会区 Bangkok Noi, 曼谷邮政编码: 10700",13.753696,100.486092,曼谷蓮縣,Sirirat,,,,,,https://maps.google.com/?cid=15690587210602289013&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJQV46PmyZ4jARdYhtkyeX0X8,酒店住宿,AMAZING,น่าทึ่งมาก,guest_house,宾馆/民宿,,,"QG72+82J, Soi Samsen 2, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.763342,100.500029,拍那空县,班潘通,,,,,,https://maps.google.com/?cid=9210308909182322805&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJCxZU2U-Z4jARk3InA9AEowk,酒店住宿,AREA81 HIDEOUT Hostel Khaosan,แอเรีย81 ไฮด์เอาท์ โฮสเทล ข้าวสาร,hostel,青年旅舍,,,"7, 9 Tani, Khwaeng Talat Yot, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.760842,100.49786,拍那空县,哒叻裕区,,,,,,https://maps.google.com/?cid=694404058997813907&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ319yWzCZ4jARQ227axLDjG8,酒店住宿,Aesthera Home,เอสเธรา โฮม,guest_house,招待所,,,"87 Soi Luean Rit, Khwaeng Chakkrawat, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.743211,100.505297,三攀他旺县,差甲瓦區,,+66 81 909 7441,http://airbnb.com/h/aestherahome,,,https://maps.google.com/?cid=8038013918833765699&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJWe8rYxaZ4jARM5Iobatqfcw,酒店住宿,Albergo,อัลแบร์โก,hotel,宾馆,,,"259 Maha Chai Rd, Khwaeng Samran Rat, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.752215,100.504388,拍那空县,巴杜披,,,,,,https://maps.google.com/?cid=14735050840329458227&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJo6nKjmaZ4jARPzVx9kMKqWs,酒店住宿,Alley & Pier,ตรอกและท่าเรือ,hotel,酒店,,,"47/1 Thanon Phra Athit, ชนะสงคราม Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.763267,100.494675,拍那空县,查那松康区,,,,,,https://maps.google.com/?cid=7757743120136090943&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJj5k4QQCZ4jAR7RQGx7Z1drc,酒店住宿,Alley living rama8,ซอย ลิฟวิ่ง พระราม 8,hotel,酒店,,,"139/1 ถ. วิสุทธิกษัตริย์ Khwaeng Bang Khun Phrom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.761975,100.504946,拍那空县,邦坤蓬区,,,,,,https://maps.google.com/?cid=13219883184076231917&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJe1x7kXaZ4jARqVnUj94zsZk,酒店住宿,Amarin Apartment,อมรินทร์ อพาร์ทเม้นท์,hotel,酒店,,,"93, 95 ซอย วังหลัง ข.ศิริราช Khet Bangkok Noi, Krung Thep Maha Nakhon 10700",13.755441,100.486003,曼谷蓮縣,Sirirat,,,,,,https://maps.google.com/?cid=11074689989669575081&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJG3f4qF-Z4jARNgaYaNkbM1U,酒店住宿,Amarin Hotel Rama 8,โรงแรมอัมรินทร์ พระราม 8,hotel,酒店,,,"204/2 Soi Arun Ammarin 49, Khwaeng Bang Yi Khan, Khet Bang Phlat, Krung Thep Maha Nakhon 10700",13.771741,100.487725,挽拍县,Bang Yi Khan,,,,,,https://maps.google.com/?cid=6139281337612764726&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJLcs4WtuZ4jARC2D3ED_09GY,酒店住宿,Amazing Khaosan Hostel,อเมซิ่ง ข้าวสาร โฮสเทล,hotel,酒店,,,"QG73+2CV, Prachathipatai Rd, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.76261,100.503558,拍那空县,班潘通,,,,,,https://maps.google.com/?cid=7418823037890813963&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ1wykT2uZ4jARdgK6Sbau5uo,酒店住宿,Apartment residence (Condominium),หอพัก หอพัก (คอนโดมิเนียม),lodging,度假出租屋,,,"泰国曼谷都会区 Phra Nakhon, 曼谷 Banglamphu",13.759327,100.502342,拍那空县,波稳尼威区,,,,,,https://maps.google.com/?cid=16926408347462795894&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJB2iEyW2Z4jAREjDdcMI9VIo,酒店住宿,Apple Guest House,แอปเปิ้ล เกสท์เฮาส์,guest_house,宾馆/民宿,,,"11 Thanon Phra Sumen, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.762238,100.496032,拍那空县,查那松康区,,,,,,https://maps.google.com/?cid=9967659780604243986&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJEUUJtXmZ4jAR7jM-wv3HKOI,酒店住宿,Apt. ท๊อป- ไทด์,Apt. ท๊อป- ไทด์,lodging,住宿,,,"บ้าน ท๊อป ไทด์ 987 Soi Arun Ammarin 49, Khwaeng Bang Yi Khan, Khet Bang Phlat, Krung Thep Maha Nakhon 10700",13.772389,100.48755,挽拍县,Bang Yi Khan,,,,,,https://maps.google.com/?cid=16296495144339649518&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ6-LqgxSZ4jAR_xBIY7NEvWQ,酒店住宿,Arm,แขน,hotel,宾馆,,,"78, 3 Dinso Rd, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.755691,100.499554,拍那空县,波稳尼威区,,,,,,https://maps.google.com/?cid=7259033711646609663&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJT8aRL6uZ4jAR-1mvVH1QjyM,酒店住宿,Art Hotel Sanamchai,อาท โฮเทล,hotel,宾馆,,,"Near Bangkok Flower Market, Bangkok Near Bangkok Flower Market, Bangkok BW_Phra Nakhon P1, แขวงวัดบวรนิเวศ เขตพระนคร กรุงเทพมหานคร 10200",13.756024,100.498679,拍那空县,波稳尼威区,,,https://www.hotelsbkk.com/art-hotel-sanamchai/,,,https://maps.google.com/?cid=2562355212219013627&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJe7vX8mWZ4jARK9-Is8WXcoI,酒店住宿,Artist Studio Apartment with Canal View,อาร์ติสต์สตูดิโออพาร์ตเมนต์พร้อมวิวคลอง,lodging,住宿,,,"泰国曼谷都会区 Phra Nakhon, 曼谷 Banglamphu",13.7708,100.500122,拍那空县,讪披耶寺区,,,,,,https://maps.google.com/?cid=9399742247652089643&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJAQDwp22Z4jARPSXzeXQIPAg,酒店住宿,At Home Hostel,แอท โฮม โฮสเทล,hostel,青年旅舍,,,"168 Chakrabongse Rd, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.761645,100.497548,拍那空县,查那松康区,,,,,,https://maps.google.com/?cid=593358547261269309&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJnbfEqTmZ4jARtddLz-y8gho,酒店住宿,At smile oasis houses,ที่บ้านสไมล์โอเอซิส,hotel,酒店,,,"84, 1-2 Thanon Phra Sumen, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.762371,100.497297,拍那空县,查那松康区,,,,,,https://maps.google.com/?cid=1910296917234669493&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJwcrqVgCZ4jARItMavL2s0Dw,酒店住宿,Atlas Hostel Khaosan,แอทลาส โฮสเทล ข้าวสาร,hostel,青年旅舍,,,"246 ถ. วิสุทธิกษัตริย์ Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.764111,100.503229,拍那空县,班潘通,,,,,,https://maps.google.com/?cid=4382192368336163618&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJNc9LAQCZ4jARl5bVe-ioOBE,酒店住宿,Auberge Bangkok,โอแบร์จ บางกอก,bed_and_breakfast,民宿早餐旅馆,,,"94 Soi Ram Buttri, Khwaeng Talat Yot, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.759666,100.497384,拍那空县,哒叻裕区,,,,,,https://maps.google.com/?cid=1240927413804045975&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJffAW8HKZ4jARwAGzc_XGSO0,酒店住宿,A加A酒店,โรงแรมเอ พลัส เอ,guest_house,宾馆/民宿,,,"QF6V+GG8, Soi Ram Buttri, Khwaeng Talat Yot, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.761297,100.49382,拍那空县,查那松康区,,,,,,https://maps.google.com/?cid=17098134742822486464&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJQ5Tq6vWZ4jARx3-mM5CQPjE,酒店住宿,B,บี,private_guest_room,民宿,,,"334, Soi Ban Bat, Thungkham, Chaistan, Nan 55000",13.750389,100.506466,邦巴沙都拍县,班巴区,,+66 84 904 9559,,,,https://maps.google.com/?cid=3548432505430769607&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJjTtAq22Z4jARnwLo3U6AlIs,酒店住宿,B.P. Guest House,บี.พี. เกสท์เฮาส์,hostel,青年旅舍,,,"15 Thanon Samsen, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10110",13.7631,100.498673,拍那空县,讪披耶寺区,,,,,,https://maps.google.com/?cid=10057804944043934367&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJO144NBKZ4jARUc6W3G81iG8,酒店住宿,BAO The Giant Swing,BAO ชิงช้ายักษ์,hotel,酒店,,,"386 Thanon Tanao, Khwaeng San Chao Pho Sua, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.754373,100.49841,拍那空县,虎神庙区,,,,,,https://maps.google.com/?cid=8036732289601162833&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJU3qAxHKZ4jAREHOh0jev_6g,酒店住宿,BB House Rambutri,บีบี เฮ้าส์ รามบุตรี,hotel,酒店,,,"45 Soi Ram Buttri, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.760085,100.493973,拍那空县,查那松康区,,,,,,https://maps.google.com/?cid=12177644571724968720&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJwyfI5XKZ4jARSxlZ5ExJ5FM,酒店住宿,BB house Rambuttri 2,บีบี เฮาส์ รามบุตรี 2,hotel,酒店,,,"28/1 Soi Ram Buttri, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.760844,100.493552,拍那空县,查那松康区,,,,,,https://maps.google.com/?cid=6045037194435434827&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ_TrixJ-Z4jARriJl1ZzK8BY,酒店住宿,BBHouse Phra Athit,บีบีเฮ้าส์ พระอาทิตย์,hostel,青年旅舍,,,"80 Soi Chana Songkhram, ชนะสงคราม Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.762198,100.494031,拍那空县,查那松康区,,,,,,https://maps.google.com/?cid=1653043838188855982&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJX0OHO6eZ4jARa4lT1MWoFgQ,酒店住宿,Baan 54,บ้าน 54,bed_and_breakfast,民宿早餐旅馆,,,"54 Soi Samsen 5, Khwaeng Wat Sam Phraya, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.766364,100.499347,拍那空县,讪披耶寺区,,,,,,https://maps.google.com/?cid=294608393263614315&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJs3qX5WyZ4jARaIL80PTDxhs,酒店住宿,Baan Bovorn,บ้านบวร,hotel,酒店,,,"10 4 Thanon Sap Sam Hang, Khwaeng Talat Yot, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.760705,100.499251,拍那空县,哒叻裕区,,,,,,https://maps.google.com/?cid=2001502540658410088&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJKS_DaA6Z4jAR3MVXLlVJpvc,酒店住宿,Baan Chart,บ้านชาติ,hotel,酒店,,,"98 Chakrapong Rd., Taladyod, Khwaeng Talat Yot, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.76022,100.496364,拍那空县,哒叻裕区,,,,,,https://maps.google.com/?cid=17845031203700721116&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ2WuZDSGZ4jARLrU2Cn0Vcwc,酒店住宿,Baan Lek Tee 6 - 9Chinatown near Yaowarat and MRT,บ้านเล็กตี 6 - 9ไชน่าทาวน์ ใกล้เยาวราช และ MRT,lodging,度假出租屋,,,"泰国曼谷都会区 Samphanthawong, 曼谷邮政编码: 10100",13.739588,100.510559,三攀他旺县,Samphanthawong,,,,,,https://maps.google.com/?cid=536796407373673774&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJhQJioz6Z4jAROyi5g66eY9Y,酒店住宿,Baan Maen Si - Guesthouse,บ้านแม้นศรี - เกสท์เฮาส์,hotel,酒店,,,"128, 62 Soi Nak Bamrung, Khwaeng Khlong Maha Nak, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.753201,100.511677,邦巴沙都拍县,Khlong Maha Nak,,,,,,https://maps.google.com/?cid=15448365619182381115&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJK0ljWwCZ4jAR9c2Uc3HdE9Q,酒店住宿,Baan Manee BKK,บ้านมณี กทม,hotel,酒店,,,"805 Wat Daowaduengsaram, Khwaeng Bang Yi Khan, Khet Bang Phlat, Krung Thep Maha Nakhon 10700",13.765628,100.493234,挽拍县,Bang Yi Khan,,,,,,https://maps.google.com/?cid=15281801439938399733&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ9WtUfGuZ4jARzQiLdiLwv9k,酒店住宿,Baan Nampetch Hostel,บ้านน้ำเพชร โฮสเทล,hostel,青年旅舍,,,"402/2 ซ.วัดตรี. ตรอก Soi Kasem Si, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.760992,100.501576,拍那空县,班潘通,,,,,,https://maps.google.com/?cid=15690523657590474957&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJx-q9Y_aZ4jARqP-q8oNLpP8,酒店住宿,"Baan U-Sabai, Bangkok",บ้านอยู่สบาย กรุงเทพมหานคร,guest_house,宾馆/民宿,,,"18 ซอยวัดสังเวช Khwaeng Wat Sam Phraya, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.764875,100.496264,拍那空县,讪披耶寺区,,,,,,https://maps.google.com/?cid=18420931405936263080&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJq4v--82Z4jARSP4a6hf0j04,酒店住宿,Baan Wan Chart Boutique Hotel,บ้านวันชาติ บูติคโฮเต็ล,hotel,酒店,,,"เลขที่ 152, 1 Prachathipatai Rd, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.760565,100.502688,拍那空县,班潘通,,,,,,https://maps.google.com/?cid=5661011640177065544&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJL3zyK_aZ4jARrSTVfM3ZaCo,酒店住宿,Baan at Khaosan Hostel,บ้านแอทข้าวสารโฮสเทล,hostel,青年旅舍,,,"41, 43 Chakrabongse Rd, Banglumphoo, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.759458,100.495145,拍那空县,查那松康区,,,,,,https://maps.google.com/?cid=3055931823756747949&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJXeV7XM2Z4jAR1SXs96vduW8,酒店住宿,Baan586,บ้าน586,hostel,青年旅舍,,,"586 Wisut Kasat, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.760811,100.505477,拍那空县,班潘通,,,,,,https://maps.google.com/?cid=8050709539570066901&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJi6sQ_xCZ4jAR5EvKWorWjLM,酒店住宿,BaanTip​ HomeStay,บ้านทิพย์ โฮมสเตย์,lodging,度假出租屋,,,"泰国曼谷都会区 Phra Nakhon, 曼谷 Banglamphu",13.75001,100.499008,拍那空县,拉差博披寺区,,,https://www.bluepillow.com/search/67a23b12905c444f2d05f1b2?dest=ago&cat=Vacation+rental+(other)&lat=13.75001&lng=100.49901&language=en,,,https://maps.google.com/?cid=12937951719245630436&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJi6sQ_xCZ4jARHghCTrAJOD0,酒店住宿,BaanTip​ HomeStay,บ้านทิพย์ โฮมสเตย์,lodging,度假出租屋,,,"泰国曼谷都会区 Phra Nakhon, 曼谷 Banglamphu",13.750057,100.49881,拍那空县,拉差博披寺区,,,https://www.agoda.com/,,,https://maps.google.com/?cid=4411286487841245214&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJC3hoMKmZ4jARO0qG9Kz3ykU,酒店住宿,BaanYaay Phra Nakhon,บ้านยายพระนคร,hostel,青年旅舍,,,"260, 2 soi worapong wisutikasat road, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.763872,100.503168,拍那空县,班潘通,,,,,,https://maps.google.com/?cid=5029104256121457211&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ52jekROZ4jARkYEa88G15v8,酒店住宿,Baankhon Private room in Thai house Check in by yourself code inbox Adult Only,Baankhon ห้องส่วนตัวในบ้านทรงไทย เช็คอินด้วยตัวเอง รหัส inbox สำหรับผู้ใหญ่เท่านั้น,lodging,住宿,,,"泰国曼谷都会区 Phra Nakhon, 曼谷 Banglamphu",13.75496,100.500771,拍那空县,大秋千区,,,,,,https://maps.google.com/?cid=18439625568926990737&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJAZQ69XKZ4jARraIWKH6cA2w,酒店住宿,Ban Athit Guest House,บ้านอาทิตย์ เกสท์เฮาส์,lodging,住宿,,,"98 Soi Chana Songkhram, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.761797,100.494414,拍那空县,查那松康区,,,,,,https://maps.google.com/?cid=7783236646678733485&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJe6NOom6Z4jARoSlU0v3xNSE,酒店住宿,Bang Khunprom Hotel,โรงแรมบางขุนพรหม,hotel,酒店,,,"152 Thanon Samsen, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.765042,100.500147,拍那空县,班潘通,,,,,,https://maps.google.com/?cid=2393084849475037601&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJt8EPTBaZ4jARCduR4QoH6cY,酒店住宿,Bangkok - Kunst Sta Hua Lamphong หัวลำโพง五房五卫六床,Bangkok - Kunst Sta Hua Lamphong หัวลำโพง,lodging,度假出租屋,,,"泰国曼谷都会区 Pom Prap Sattru Phai, 曼谷 Banglamphu",13.75033,100.505318,邦巴沙都拍县,班巴区,,,https://www.bluepillow.com/search/655204bb1811a9820ec2ec14?dest=ago&cat=Apartment&lat=13.75033&lng=100.50532&language=en,,,https://maps.google.com/?cid=14332995032398813961&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJyWwzThaZ4jARZj8oMfFXJXs,酒店住宿,Bangkok - Kunst Sta Hua Lamphong หัวลำโพง五房五卫六床,Bangkok - Kunst Sta Hua Lamphong หัวลำโพง,lodging,度假出租屋,,,"泰国曼谷都会区 Pom Prap Sattru Phai, 曼谷 Banglamphu",13.750563,100.505066,拍那空县,班巴区,,,https://www.agoda.com/,,,https://maps.google.com/?cid=8873595334226886502&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJGeawaACZ4jARZGyYA9dtYa8,酒店住宿,"Bangkok Airbnb, dom w: Khet Phra Nakhon",Bangkok Airbnb หอพัก w: เขตพระนคร,hostel,青年旅舍,,,"14 Trok Sin, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.755378,100.500101,拍那空县,波稳尼威区,,,,,,https://maps.google.com/?cid=12637502799624039524&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJczNLNO2Z4jARnK7t_O-Tvig,酒店住宿,Bangkok Canale Home,บางกอก คานาเล่ โฮม,hotel,酒店,,,"129, 2 Soi Kasem Si, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.760735,100.501886,拍那空县,班潘通,,,,,,https://maps.google.com/?cid=2935946666042044060&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJaVThRPWZ4jARrDvEP1YiZ1A,酒店住宿,Bangkok Cozy Home @khaosan,แบงค็อก โคซี่ โฮม แอท ข้าวสาร,lodging,住宿,,,"311 Thanon Phra Sumen, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.760659,100.500845,拍那空县,波稳尼威区,,,,,,https://maps.google.com/?cid=5793637199467789228&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
